sim	fam id	dlcpar and k = .001 cost	dlcpar and k = .001 runtime	dlcpar and k = 10 cost	dlcpar and k = 10 runtime	dlclp cost	dlclp runtime
10e6-1x	0	1.500000	0.052346	1.500000	0.056263	1.500000	0.569061
10e6-1x	1	2.000000	0.054715	2.000000	0.057762	2.000000	0.483133
10e6-1x	6	0.500000	0.062259	0.500000	0.055306	0.500000	0.403096
10e6-1x	7	1.000000	0.056883	1.000000	0.063747	1.000000	0.452375
10e6-1x	8	3.000000	0.034506	3.000000	0.034711	3.000000	0.227860
10e6-1x	9	1.000000	0.056115	1.000000	0.056033	1.000000	0.509554
10e6-1x	10	1.500000	0.066924	1.500000	0.061419	1.500000	0.629001
10e6-1x	11	0.500000	0.051004	0.500000	0.053971	0.500000	0.374956
10e6-1x	16	0.500000	0.040060	0.500000	0.040511	0.500000	0.225881
10e6-1x	17	1.000000	0.053308	1.000000	0.055037	1.000000	0.470253
10e6-1x	18	1.000000	0.055986	1.000000	0.051360	1.000000	0.422139
10e6-1x	19	1.500000	0.057736	1.500000	0.058571	1.500000	0.543365
10e6-1x	20	3.000000	0.062282	3.000000	0.062831	3.000000	1.157104
10e6-1x	21	1.500000	0.059626	1.500000	0.059913	1.500000	0.589665
10e6-1x	26	1.000000	0.045430	1.000000	0.039389	1.000000	0.206385
10e6-1x	27	0.500000	0.055293	0.500000	0.050248	0.500000	0.378237
10e6-1x	28	1.500000	0.039640	1.500000	0.035579	1.500000	0.185180
10e6-1x	29	2.500000	0.080430	2.500000	0.080996	2.500000	2.010148
10e6-1x	30	1.000000	0.033160	1.000000	0.033555	1.000000	0.127061
10e6-1x	31	3.000000	0.042495	3.000000	0.042971	3.000000	0.275987
10e6-1x	32	1.500000	0.035908	1.500000	0.040863	1.500000	0.175862
10e6-1x	33	3.000000	0.089772	3.000000	0.100845	3.000000	1.579706
10e6-1x	34	0.000000	0.038634	0.000000	0.034467	0.000000	0.152083
10e6-1x	35	2.000000	0.054636	2.000000	0.060614	2.000000	0.427572
10e6-1x	36	1.000000	0.060424	1.000000	0.065336	1.000000	0.495671
10e6-1x	37	1.500000	0.049079	1.500000	0.050313	1.500000	0.366066
10e6-1x	38	0.500000	0.058622	0.500000	0.050957	0.500000	0.394453
10e6-1x	39	0.500000	0.061543	0.500000	0.053174	0.500000	0.391124
10e6-1x	42	1.000000	0.057870	1.000000	0.056627	1.000000	0.505026
10e6-1x	43	1.500000	0.068393	1.500000	0.066758	1.500000	0.608977
10e6-1x	44	2.000000	0.063244	2.000000	0.055423	2.000000	0.683609
10e6-1x	45	2.000000	0.063562	2.000000	0.059978	2.000000	0.454792
10e6-1x	50	1.000000	0.020597	1.000000	0.019846	1.000000	0.061993
10e6-1x	51	2.500000	0.094609	2.500000	0.090315	2.500000	1.150843
10e6-1x	52	1.000000	0.043630	1.000000	0.040522	1.000000	0.212587
10e6-1x	53	0.500000	0.059289	0.500000	0.051503	0.500000	0.377238
10e6-1x	54	0.500000	0.060433	0.500000	0.059872	0.500000	0.359153
10e6-1x	55	1.000000	0.056348	1.000000	0.060316	1.000000	0.500548
10e6-1x	56	1.500000	0.062311	1.500000	0.058996	1.500000	0.636242
10e6-1x	57	1.500000	0.054097	1.500000	0.052901	1.500000	0.342757
10e6-1x	58	1.500000	0.049148	1.500000	0.048539	1.500000	0.355837
10e6-1x	59	0.500000	0.056842	0.500000	0.054000	0.500000	0.392425
10e6-1x	60	0.500000	0.056857	0.500000	0.056523	0.500000	0.396834
10e6-1x	61	0.500000	0.055668	0.500000	0.060364	0.500000	0.356687
10e6-1x	62	1.000000	0.042923	1.000000	0.045122	1.000000	0.245219
10e6-1x	63	1.500000	0.097650	1.500000	0.098889	1.500000	2.134248
10e6-1x	64	1.000000	0.057358	1.000000	0.060249	1.000000	0.455100
10e6-1x	65	1.000000	0.060580	1.000000	0.051987	1.000000	0.452594
10e6-1x	66	1.500000	0.046814	1.500000	0.050770	1.500000	0.338584
10e6-1x	67	1.000000	0.048543	1.000000	0.047430	1.000000	0.239272
10e6-1x	68	1.000000	0.060600	1.000000	0.055747	1.000000	0.507562
10e6-1x	69	1.500000	0.049730	1.500000	0.063251	1.500000	0.347917
10e6-1x	72	2.000000	0.050277	2.000000	0.048960	2.000000	0.320672
10e6-1x	73	2.500000	0.074292	2.500000	0.072309	2.500000	0.960828
10e6-1x	74	4.000000	0.052482	4.000000	0.059404	4.000000	0.531107
10e6-1x	75	1.500000	0.051769	1.500000	0.052845	1.500000	0.339849
10e6-1x	80	0.500000	0.054830	0.500000	0.050651	0.500000	0.380914
10e6-1x	81	1.000000	0.043251	1.000000	0.047289	1.000000	0.239089
10e6-1x	86	3.500000	0.050264	3.500000	0.050693	3.500000	0.393720
10e6-1x	87	2.500000	0.060896	2.500000	0.067239	2.500000	0.999710
10e6-1x	88	3.000000	0.067524	3.000000	0.066488	3.000000	1.424716
10e6-1x	89	2.000000	0.060729	2.000000	0.057766	2.000000	0.453113
10e6-1x	90	0.500000	0.051288	0.500000	0.054868	0.500000	0.379408
10e6-1x	91	1.000000	0.059437	1.000000	0.064189	1.000000	0.500976
10e6-1x	92	1.500000	0.056203	1.500000	0.050475	1.500000	0.485189
10e6-1x	93	2.500000	0.055952	2.500000	0.052336	2.500000	0.541603
10e6-1x	94	2.501000	0.086509	4.500000	0.091228	2.500000	1.524547
